Sample Type,Location,Olv + Cpx,Cpx + Plg,Olv + Plg,Expected fO2,fO2,H2O,Fo cotectic,An cotectic,Fo,An,Host FO,MG# Glass,Expected Fo,Expected An,Expexted H20,Run Pressure,Expected Pressure,Notes,File Name,Folder Name,Run Type,Sample,Mg# MELT,MELT FeO wt%,MELT MnO wt%,MELT MgO wt%,Notes
MI,Arenal Volcano,NaN,NaN,NaN,NNO +1,NNO,4,NaN,NaN,NaN,NaN,77.3,51.5,77.3,93,4wt%,300,200-300,13b non PEC corrected,Plank_13b_unconstrained(NNO+0)_300mpa_tp,Cerro Negro  ,TP,ET3_ARo301_13b,51.47913864,6.62626664,0.298032982,3.943969799,"So hard time with olivine stability, and in general hard to get it to crystallize, BUT had some luck once moving more reducing than NNO -2"
MI,Arenal Volcano,NaN,NaN,NaN,NNO +1,NNO,4,NaN,NaN,0.78,0.764,77.3,51.5,77.3,93,4wt%,200,200-300,13b non PEC corrected,Plank_13b_unconstrained(NNO+0)_200mpa_tp,Cerro Negro  ,TP,ET3_ARo301_13b,51.47913864,6.62626664,0.298032982,3.943969799,"SO since I was unable to get Olivine at NNO for MG and also for most MI (all but 13b) and could only get it at NNO -2, I ran some uncorrected MI comps at NNO to see if we get olivine! To see if that’s the source of the issue "
MI,Arenal Volcano,NaN,200,NaN,NNO +1,NNO,3.5,NaN,NaN,NaN,0.765,76.6,49,76.6,93,4wt%,400-50,200-300,,Plank_uncorrected_1a_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARo301_1a,46.2334428,6.377163381,0.122238428,3.076333772,
MI,Arenal Volcano,NaN,400,NaN,NNO +1,NNO,3.5,NaN,NaN,NaN,0.882,75.7,49.2,75.7,93,4wt%,400-50,200-300,,Plank_uncorrected_1b_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARo302_1b,37.3536396,6.772819435,0.174271002,2.265523025,Only olivine at really shallow pressures (75 and 50)
MI,Arenal Volcano,NaN,NaN,NaN,NNO +1,NNO,3.5,NaN,NaN,NaN,0.846,75.4,47.2,75.4,93,4wt%,400-50,200-300,,Plank_uncorrected_2a_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARo301_2a,0.209599915,17.19647297,1.72173234,0.020262994,Only olivine at really shallow pressures (75 and 50)
MI,Arenal Volcano,NaN,NaN,NaN,NNO +1,NNO,3.5,NaN,NaN,NaN,0.874,78.6,53.6,78.6,93,4wt%,400-50,200-300,,Plank_uncorrected_3b_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARo301_3b,47.18297629,5.394336235,0.157863143,2.703406317,
MI,Arenal Volcano,NaN,NaN,100,NNO +1,NNO,3.5,0.762,0.867,NaN,0.855,77.3,53.5,77.3,93,4wt%,400-50,200-300,,Plank_uncorrected_13a_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARo301_13a,53.18269159,7.372169443,0.197398626,4.698087308,
MI,Arenal Volcano,NaN,325,NaN,NNO +1,NNO,3.5,NaN,NaN,NaN,0.769,76.9,49.4,76.9,93,4wt%,400-50,200-300,,Plank_uncorrected_302_4a_NNO-MELTS_Auto,Arenal NNO Uncorrected,Pcalc,ET3_ARO302_4a,44.43325528,6.049716972,0.121516874,2.713876855,olivine only crystallizes at 325 which is when plag and cpx have a cotectic! Interesting
MI,Arenal Volcano,NaN,NaN,NaN,NNO +1,NNO,4,NaN,NaN,NaN,NaN,77.3,51.5,77.3,93,4wt%,400,200-300,13b non PEC corrected,Plank_13b_unconstrained(NNO+0)_400mpa_tp,Cerro Negro  ,TP,ET3_ARo301_13b,51.47913864,6.62626664,0.298032982,3.943969799,Fo and An are at expected pressure! 
MG,Arenal Volcano,NaN,75,NaN,NNO +1,NNO,3,NaN,NaN,NaN,0.727,NaN,39.7,71-83,93,4wt%,400-50,200-300,,ET3_terry_MG_NNO-MELTS_Auto,Cerro Negto MG Pcalcs,Pcalc,ET3 ,44.78019405,6.899817059,,3.138994643,
