P (MPa),Dissolved Water (wt%),anorthite,Expected An,Hygrometer Water,Sample,MI water,Fo2,T,Hygrometer curve water,Hygrometer curve An,Hygrometer curve water,Hygrometer curve An
100,4.79586908,0.763813305,0.93,3.29,ET3_ARo301_13b,NaN,NNO,1100,,,0.60,0.10
100,3.55136752,0.775223133,0.93,2.41,ET3_ARo301_1a,2.95,NNO,1100,,,1.03,0.15
100,3.414311582,0.851718021,0.93,3.21,ET3_ARo301_2a,2.61,NNO,1100,,,1.35,0.20
100,3.235011557,0.882765516,0.93,4.84,ET3_ARo301_3b,NaN,NNO,1100,,,1.50,0.30
100,3.419820533,0.866657477,0.93,3.73,ET3_ARo301_13a,3.56,NNO,1100,,,1.65,0.40
100,3.595953511,0.768762868,0.93,2.66,ET3_ARO302_4a,3.26,NNO,1100,,,1.75,0.50
,,,,,,,,,,,1.80,0.60
,,,,,,,,,,,1.90,0.70
,,,,,,,,,,,1.95,0.80
,,,,,,,,,,,2.05,0.85
,,,,,,,,,,,2.20,0.87
,,,,,,,,,,,2.50,0.97
,,,,,,,,,,,2.80,0.98
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
