Sample Type,Location,Temperature,Expected Pressure,Expected fO2,fO2,H2O,Fo cotectic,An cotectic,Fo 1050,An 1050,Expected Fo,Expected An,Expexted H20,Run Type,Sample Name,Folder,File Name,Notes,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.827002348,0.768807552,0.723548908,0.621921226,0.847448442,0.921928176,6,PT Run,79_35G_6,Medicine lake low water,79_35G_6,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.810486918,0.735887827,0.675299968,0.620128794,0.847448442,0.921928176,6,PT Run,79_35G_4,Medicine lake low water,79_35G_4,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.82282985,0.747156577,0.693247778,0.599167503,0.848984608,0.913617461,6,PT Run,79_35G_11,Medicine lake low water,79_35G_11,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.629468697,0.492561107,0.596320087,0.483952929,0.794000565,0.883004834,6,PT Run,79_35G_12,Medicine lake low water,79_35G_12,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.595239561,0.509161237,NaN,NaN,0.775821282,0.857748007,6,PT Run,82_62_3,Medicine lake low water,82_62_3,3 phase cotectics!!,olivine begins to form at 1045
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.553618942,0.479946912,NaN,NaN,0.768645853,0.848611327,6,PT Run,82_62_4,Medicine lake low water,82_62_4,3 phase cotectics!!,olivine begins to form at 1005
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.325611622,0.494296505,NaN,NaN,0.78179312,0.86540374,6,PT Run,82_66_3,Medicine lake low water,82_66_3,3 phase cotectics!!,olivine begins to form at 820
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,NaN,NaN,NaN,NaN,0.782626084,0.894963459,6,PT Run,82_66_5,Medicine lake low water,82_66_5,3 phase cotectics!!,No olivine!
MG,Medicine Lake ,1050,200,NNO ,NNO,0.2,0.26093771,0.441540682,NaN,NaN,0.768322473,0.822230381,6,PT Run,82_88_7,Medicine lake low water,82_88_7,3 phase cotectics!!,olivine begins to form at 842
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,0.827019456,0.796672415,0.734049573,0.675227059,0.847448442,0.921928176,6,PT Run,79_35G_6,Medicine lake low water,79_35G_6,3 phase cotectics!!,
MG,Medicine Lake ,1050,200,NNO ,NNO,0.5,0.815321587,0.771559666,0.704542006,0.663625528,0.847448442,0.921928176,6,PT Run,79_35G_4,Medicine lake low water,79_35G_4,3 phase cotectics!!,
