Sample,Si,Total Alkali,Type,Olv + Cpx,Cpx + Plg,Olv + Plg,water
79-35g_6_glass_-1,48.2,3.45,Matrix Glass,250,50,NaN,10
79-35g_4_glass_-1,49.4,3.71,Matrix Glass,317,75,125,10
79-35g_11_glass_-1,49,5.302130632,Matrix Glass,175,75,125,10
79-35g_10_glass_-1,49.1,8.629167177,Matrix Glass,250,75,NaN,10
79-35g_12_glass_-1,52.5,8.519463303,Matrix Glass,216,NaN,NaN,10
82-62_3_glass_-1,51.5,6.788050921,Matrix Glass,350,NaN,NaN,10
82-62_4_glass_-1,51.8,7.448525009,Matrix Glass,NaN,NaN,NaN,10
82-66_3_glass_-1,52.9,7.752398401,Matrix Glass,400,NaN,NaN,10
82-66_5_glass_-1,52.7,7.981730525,Matrix Glass,367,NaN,NaN,10
82-66_7_glass_-1,59.1,7.992068631,Matrix Glass,NaN,NaN,NaN,10
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
