Sample Type,Location,Expected Pressure,Olv + Cpx,Cpx + Plg,Olv + Plg,Error,Expected fO2,fO2,H2O,Fo cotectic,An cotectic,Fo,An,Expected Fo,Expected An,Expexted H20,Run Type,Sample Name,Folder,File Name,Mg# Melt,Mg# Glass,FeO wt%,MnO wt%,MgO wt%,FeO wt% MELT,MnO wt% MELT,MgO wt% MELT,Notes
MG,Medicine Lake ,200,75,75,75,,NNO ,NNO -1,10,0.792,0.898,0.819,0.909,0.847448442,0.921928176,Saturated/10,Pcalc,79_35G_4,QFM Pcalcs,79-35g_4_glass_-1,61.32340997,58.61878941,8.28,0.15,6.58,7.057313085,0.143101693,6.277394279,75
MG,Medicine Lake ,200,189,75,NaN,CPX,NNO ,NNO,10,NaN,NaN,0.83,0.908,0.847448442,0.921928176,Saturated/10,Pcalc,79_35G_4,QFM Pcalcs,79-35g_4_glass,62.72977477,58.61878941,8.28,0.15,6.58,6.644373162,0.143018756,6.273756081,200
MG,Medicine Lake ,200,77,77,77,CPX,NNO ,NNO -1,10,0.817,0.91,0.828,0.918,0.864317457,NaN,Saturated/10,Pcalc,79_35G_6,QFM Pcalcs,79-35g_6_glass_-1,62.4286318,59.7139924,8.37,0.16,6.96,7.11609632,0.152489967,6.633313566,75
MG,Medicine Lake ,200,77,77,80,CPX,NNO ,NNO -1,10,0.798,0.898,0.812,0.91,0.835610137,0.907390245,Saturated/10,Pcalc,79_35G_10,QFM Pcalcs,79-35g_10_glass_-1,59.14536027,56.4218162,8.77,0.17,6.37,7.468405166,0.161874545,6.065534404,75
MG,Medicine Lake ,200,402,75,NaN,CPX,NNO ,NNO +1,10,NaN,NaN,0.806,0.897,0.848984608,0.913617461,Saturated/10,Pcalc,79_35G_11,QFM Pcalcs,79-35g_11_glass_+1,62.82580341,56.64699963,8.69,0.16,6.37,6.388226127,0.152131516,6.056735995,400
MG,Medicine Lake ,200,75,75,75,CPX,NNO ,NNO -1,10,0.808,0.897,0.813,0.909,0.848984608,0.913617461,Saturated/10,Pcalc,79_35G_11,QFM Pcalcs,79-35g_11_glass_-1,59.36714084,56.64699963,8.69,0.16,6.37,7.39880032,0.152325465,6.064457554,50
MG,Medicine Lake ,200,98,77,77,CPX,NNO ,NNO,10,0.819,0.901,0.827,0.899,0.848984608,0.913617461,Saturated/10,Pcalc,79_35G_11,QFM Pcalcs,79-35g_11_glass,60.7793986,56.64699963,8.69,0.16,6.37,6.972110816,0.152247049,6.061335654,100
MG,Medicine Lake ,200,467,85,85,CPX,NNO ,NNO -1,10,0.75,0.845,0.771,0.842,0.768645853,0.848611327,Saturated/10,Pcalc,82_62_4,QFM Pcalcs,82-62_4_glass_-1,51.36584857,48.53227474,8.62,0.17,4.56,7.307408067,0.161414471,4.329705806,75- since that is the one with Olv and Feldspar
MG,Medicine Lake ,200,79,79,79,CPX,NNO ,NNO +1,10,0.812,0.909,0.784,0.851,0.782626084,0.894963459,Saturated/10,Pcalc,82_66_5,QFM Pcalcs,82-66_5_glass_+1,55.43745035,52.62733292,7.75,0.14,4.83,6.580102887,0.133109395,4.59227413,75
MG,Medicine Lake ,200,NaN,111,NaN,CPX,NNO ,NNO -1,10,NaN,NaN,NaN,0.783,0.768322473,0.822230381,Saturated/10,Pcalc,82_66_7,QFM Pcalcs,82_66_7_glass_-1,55.5404865,52.60250028,5.22,0.19,3.25,4.391955738,0.179943048,3.077973182,100
MG,Medicine Lake ,200,250,50,NaN,CPX,NNO ,NNO ,10,NaN,NaN,0.848,0.905,0.864317457,NaN,Saturated/10,Pcalc,79_35G_6,Medicine Lake Pcalcs New Melts,79-35g_6_glass,64.87803391,59.7139924,8.37,0.16,6.96,6.394732766,0.152339985,6.626789335,
MG,Medicine Lake ,200,250,75,NaN,CPX,NNO ,NNO ,10,NaN,NaN,0.834,0.896,0.835610137,0.907390245,Saturated/10,Pcalc,79_35G_10,Medicine Lake Pcalcs New Melts,79-35g_10_glass,61.61972809,56.4218162,8.77,0.17,6.37,6.727657041,0.161713757,6.0595096,
MG,Medicine Lake ,200,75,75,75,CPX,NNO ,NNO -1,10,0.789,0.837,0.8,0.83,0.794000565,0.883004834,Saturated/10,Pcalc,79_35G_12,Medicine Lake Pcalcs New Melts,79-35g_12_glass_-1,56.07764124,52.52393811,8.04,0.2,4.99,6.606307687,0.189650605,4.731782604,75
MG,Medicine Lake ,200,100,75,75,CPX,NNO ,NNO -1,10,0.765,0.851,0.789,0.849,0.775821282,0.857748007,Saturated/10,Pcalc,82_62_3,Medicine Lake Pcalcs New Melts,82-62_3_glass_-1,54.04537096,50.50356909,8.7,0.19,4.98,7.167702043,0.18042443,4.729019279,75
MG,Medicine Lake ,200,NaN,50,NaN,,NNO ,NNO +1,10,NaN,NaN,0.805,0.9,0.847448442,0.921928176,Saturated/10,Pcalc,79_35G_4,QFM Pcalcs,79-35g_4_glass_+1,64.72844305,58.61878941,8.28,0.15,6.58,6.090350496,0.142935494,6.270103652,
MG,Medicine Lake ,200,NaN,50,NaN,,NNO ,NNO +1,10,NaN,NaN,0.805,0.905,0.864317457,NaN,Saturated/10,Pcalc,79_35G_6,QFM Pcalcs,79-35g_6_glass_+1,65.83999788,59.7139924,8.37,0.16,6.96,6.126979698,0.15229688,6.624914289,
MG,Medicine Lake ,200,50,75,50,,NNO ,NNO -1,10,0.765,0.836,0.782,0.842,0.78179312,0.86540374,Saturated/10,Pcalc,82_66_3,QFM Pcalcs,82-66_3_glass_-1,54.79630957,51.99368583,7.9,0.17,4.8,6.710351586,0.16161895,4.563358591,
