Pressure,500,475,450,425,400,375,350,325,300,275,250,225,200,175,150,125,100,75,50,fO2,Water
olivine,1118,1118,1118,1115,1115,1115,1112,1112,1112,1112,1109,1109,1109,1109,1109,1109,1088,1106,1124,NNO -1,10
feldspar,881,899,911,920,929,944,959,971,986,998,1010,1022,1037,1049,1064,1076,1094,1109,1136,NNO -1,10
clinopyroxene,1106,1103,1103,1100,1100,1100,1097,1097,1097,1097,1097,1097,1097,1100,1100,1103,1109,1115,1124,NNO -1,10
olivine,1118,1118,1118,1115,1115,1115,1112,1112,1112,1112,1109,1109,1109,1109,1109,1109,1088,1106,1124,NNO -1,10
feldspar,881,899,911,920,929,944,959,971,986,998,1010,1022,1037,1049,1064,1076,1094,1109,1136,NNO -1,10
clinopyroxene,1106,1103,1103,1100,1100,1100,1097,1097,1097,1097,1097,1097,1097,1100,1100,1103,1109,1115,1124,NNO -1,10
olivine,1115,1112,1112,1112,1109,1109,1109,1106,1106,1106,1103,983,1004,1025,1049,1070,1085,1103,1121,NNO  ,10
feldspar,875,890,905,917,926,941,956,968,983,995,1007,1022,1034,1049,1064,1079,1094,1112,1136,NNO  ,10
clinopyroxene,1109,1109,1106,1106,1106,1103,1103,1103,1103,1103,1103,1103,1103,1106,1106,1109,1112,1118,1130,NNO  ,10
olivine,1130,1127,1127,1127,1124,1124,1124,1121,1121,1121,1118,1118,1118,1118,1115,1115,1112,1112,1130,NNO -1,10
feldspar,890,905,914,920,935,950,965,977,992,1004,1016,1028,1040,1055,1070,1082,1097,1115,1139,NNO -1,10
clinopyroxene,1112,1109,1109,1109,1106,1106,1106,1103,1103,1103,1103,1103,1103,1106,1109,1112,1115,1121,1130,NNO -1,10
olivine,1124,1124,1121,1121,1121,1118,1118,1115,1115,1115,1112,1112,1112,1016,1040,1067,1091,1109,1127,NNO,10
feldspar,881,890,899,917,935,950,965,977,989,1004,1016,1028,1040,1055,1067,1082,1100,1118,1139,NNO,10
clinopyroxene,1115,1115,1115,1112,1112,1112,1109,1109,1109,1109,1109,1109,1109,1112,1112,1115,1121,1124,1136,NNO,10
olivine,1118,1115,1115,1115,1112,1112,1112,1109,1109,1109,1106,1106,1106,1106,1106,1106,1106,1106,1124,NNO -1,10
feldspar,875,893,905,917,920,935,950,965,980,992,1004,1019,1034,1049,1061,1076,1091,1109,1133,NNO -1,10
clinopyroxene,1100,1097,1097,1097,1094,1094,1094,1091,1091,1091,1091,1091,1094,1094,1097,1100,1103,1109,1118,NNO -1,10
olivine,1112,1109,1109,1109,1106,1106,1106,1103,1103,1103,1100,1100,1100,1022,1043,1070,1085,1103,1121,NNO,10
feldspar,869,884,896,902,920,935,950,965,977,992,1004,1016,1031,1046,1061,1076,1094,1112,1136,NNO,10
clinopyroxene,1106,1103,1103,1100,1100,1100,1100,1097,1097,1097,1097,1097,1097,1100,1103,1106,1109,1115,1124,NNO,10
olivine,1118,1118,1115,1115,1115,1112,1112,1112,1109,1109,1109,1109,1106,1106,1106,1106,1106,1109,1124,NNO -1,10
feldspar,875,893,905,917,920,935,950,965,980,992,1004,1019,1037,1049,1061,1076,1091,1109,1136,NNO -1,10
clinopyroxene,1097,1097,1097,1094,1094,1094,1091,1091,1091,1091,1091,1091,1091,1094,1094,1097,1103,1109,1118,NNO -1,10
olivine,1112,1112,1112,1109,1109,1106,1106,1106,1103,1103,1103,1103,1100,1100,1043,1073,1088,1103,1124,NNO,10
feldspar,869,884,896,902,920,935,950,965,977,992,1004,1019,1031,1046,1061,1076,1094,1112,1136,NNO,10
clinopyroxene,1103,1103,1100,1100,1100,1097,1097,1097,1097,1097,1097,1097,1097,1100,1100,1103,1109,1112,1124,NNO,10
olivine,1088,1085,1085,1085,1085,1085,1085,1082,1082,1082,1082,1082,1082,1082,1082,1085,1085,1088,1100,NNO -1,10
feldspar,812,830,848,863,878,893,917,926,938,950,962,977,992,1010,1025,1043,1061,1082,1109,NNO -1,10
clinopyroxene,1070,1070,1070,1067,1067,1067,1064,1064,1064,1064,1064,1064,1067,1067,1070,1073,1076,1085,1088,NNO -1,10
olivine,,,,,,,,,,,,,,,,,1028,1052,1082,NNO +1,10
feldspar,806,830,851,869,887,905,920,935,947,962,977,989,1004,1019,1034,1052,1070,1088,1112,NNO +1,10
